"n_inj","t_half","xm","alpha","offset","upper","i_rep","method","n_detected","n_injected","TP","FP","FN","SEN","SPC","res_dir"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-75"
5,5e-05,10,1,30,150,1,"QFD",9,4,4,6,0,1,0.444444444444444,"./res_14312715-76"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-76"
5,5e-05,10,1,30,150,1,"QFD",5,4,3,1,1,0.75,0.6,"./res_14312715-77"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-77"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-78"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-78"
5,5e-05,10,1,30,150,1,"QFD",5,4,3,0,1,0.75,0.6,"./res_14312715-79"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,1,1,3,0.25,0.5,"./res_14312715-79"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,1,0,1,0.666666666666667,"./res_14312715-8"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-8"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-80"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-80"
5,5e-05,10,1,30,150,1,"QFD",4,5,4,1,1,0.8,1,"./res_14312715-82"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,1,1,4,0.2,0.5,"./res_14312715-82"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-83"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-83"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,1,0,1,0.666666666666667,"./res_14312715-84"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-84"
5,5e-05,10,1,30,150,1,"QFD",25,4,4,17,0,1,0.16,"./res_14312715-85"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-85"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-86"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-86"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-87"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-87"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,1,1,0.8,0.8,"./res_14312715-88"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-88"
5,5e-05,10,1,30,150,1,"QFD",5,4,3,1,1,0.75,0.6,"./res_14312715-89"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-89"
5,5e-05,10,1,30,150,1,"QFD",7,5,5,1,0,1,0.714285714285714,"./res_14312715-9"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-9"
